epoch,stem,layer1,layer2,layer3,layer4,fc,layer4_over_layer1_ratio
1,0.10473080219932311,0.2641704464190444,0.17987627339139917,0.1459014954904492,0.09180181089187982,0.21365664773706733,0.348
2,0.0092607962566235,0.020661629313359832,0.010976279461562714,0.02320872140259383,0.04024299620603548,0.09742980912721462,1.948
3,0.0075045424157480336,0.016676390795708793,0.008865698891484804,0.01605525426643626,0.02524039364970758,0.08645703739988533,1.514
4,0.0112128398009095,0.025435354007107478,0.013888214647842933,0.017927637144574328,0.03032710997833981,0.08737486969681213,1.192
5,0.013881664601656964,0.03177184792530038,0.016215201504108052,0.01634974534297922,0.02978327220437617,0.0884423905614485,0.937
6,0.018510287532719594,0.04231934392230197,0.019799301215850974,0.01916930033641533,0.03240175015144728,0.0873170924054971,0.766
7,0.023798917340795114,0.05432047186687078,0.024571481322248193,0.023291084105710753,0.035572078986413375,0.0880878421682738,0.655
8,0.025963839977832033,0.05870673319678358,0.026292173504173805,0.021412595909667913,0.03552962551914507,0.08902078997088035,0.605
9,0.026951927681337084,0.062349342167137826,0.027906649965989017,0.0219429642581185,0.038677340689450765,0.08994161468517466,0.62
10,0.029377969382363575,0.06569066150513836,0.028685295568828224,0.022462937847080575,0.03637941921997254,0.0882519332907427,0.554
11,0.028448560045839722,0.06515528017452764,0.026730856866129055,0.022749114861692874,0.036644391690037116,0.08844912759314205,0.562
12,0.024560973482078634,0.055959776731197335,0.02136895341259696,0.01829066007761918,0.03492547780490027,0.08733310291941686,0.624
13,0.028622953293530422,0.0710947039972552,0.027966581446387487,0.023279565922707916,0.04100091813259384,0.08848671471620054,0.577
14,0.02844102330788761,0.07207549636246591,0.02659677508396288,0.021997382106608503,0.038530655342043044,0.08776161713946676,0.535
15,0.031911386708002254,0.07839444675111248,0.030197319416948847,0.024869088387101584,0.04109702846009293,0.08843721098981966,0.524
16,0.024020098028835143,0.06525469263027124,0.022465179727861825,0.015732873159395644,0.03384789451030511,0.08821908951569397,0.519
17,0.027468039285783438,0.08691384127208174,0.03269062519928998,0.017969146762794246,0.03157323852929816,0.08754423889094139,0.363
18,0.009218822250144799,0.03367639991225744,0.012151757552854133,0.004844877806968588,0.013724428364521502,0.08245043971863167,0.408
19,0.016406676027630206,0.05233945736451101,0.017801957714900934,0.00899635006503454,0.018330391719036918,0.08391706122343438,0.35
20,0.02596563243935611,0.08385594834370343,0.027211240677140265,0.014036631842012549,0.02099446983186545,0.08540561654108589,0.25
